[2014-05-15 11:50:05] EDIT FabLab/static/basic.css: 3
[2014-05-15 11:52:54] EDIT FabLab/views/default/first.html: 8
[2014-05-15 11:59:00] EDIT FabLab/views/default/first.html: 1
[2014-05-15 12:01:21] EDIT FabLab/views/default/first.html: 0
[2014-05-15 12:03:51] EDIT FabLab/views/default/first.html: 0
[2014-05-15 12:04:55] EDIT FabLab/views/default/first.html: 0
[2014-05-15 12:12:47] EDIT FabLab/views/default/first.html: 0
[2014-05-15 12:13:45] EDIT FabLab/views/default/first.html: 1
[2014-05-15 12:14:21] EDIT FabLab/views/default/first.html: -3
[2014-05-15 12:15:59] EDIT FabLab/views/default/first.html: 1
[2014-05-15 12:17:42] EDIT FabLab/static/basic.css: 6
[2014-05-15 12:21:05] EDIT FabLab/static/basic.css: 2
[2014-05-15 12:22:27] EDIT FabLab/views/default/first.html: 1
[2014-05-15 12:22:38] EDIT FabLab/views/default/first.html: 0
[2014-05-15 12:35:58] EDIT FabLab/views/default/first.html: 0
[2014-05-15 12:39:14] EDIT FabLab/controllers/default.py: -1
[2014-05-15 12:56:13] EDIT FabLab/views/default/first.html: 1
[2014-05-15 12:57:36] EDIT FabLab/views/default/first.html: -1
[2014-05-15 13:02:34] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:04:07] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:04:42] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:06:07] EDIT FabLab/controllers/default.py: 1
[2014-05-15 13:06:29] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:10:46] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:14:04] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:14:07] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:14:07] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:14:09] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:14:09] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:15:48] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:16:12] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:16:51] EDIT FabLab/views/default/first.html: 0
[2014-05-15 13:23:36] EDIT FabLab/views/default/first.html: 1
[2014-05-15 13:28:02] EDIT FabLab/views/default/first.html: -1
[2014-05-15 13:28:16] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:34:13] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:35:29] EDIT FabLab/controllers/default.py: 0
[2014-05-15 13:37:40] EDIT FabLab/controllers/default.py: 0
